County,2010,2011,2012,2013,2014
"Autauga County, Alabama",54684,55275,55192,55136,55395
"Baldwin County, Alabama",183216,186694,190561,195443,200111
"Barbour County, Alabama",27336,27225,27169,26978,26887
"Bibb County, Alabama",22879,22740,22634,22504,22506
"Blount County, Alabama",57344,57694,57748,57720,57719
"Bullock County, Alabama",10886,10623,10589,10605,10764
"Butler County, Alabama",20945,20676,20409,20289,20296
"Calhoun County, Alabama",118443,117760,117264,116547,115916
"Chambers County, Alabama",34111,34004,34087,34175,34076
"Cherokee County, Alabama",25968,26073,26017,26115,26037
"Chilton County, Alabama",43682,43749,43709,43836,43931
"Choctaw County, Alabama",13849,13604,13559,13397,13323
"Clarke County, Alabama",25782,25592,25168,25166,24945
"Clay County, Alabama",13886,13677,13465,13506,13552
"Cleburne County, Alabama",14969,14967,14918,15017,15080
"Coffee County, Alabama",50179,50465,51217,50861,50909
"Colbert County, Alabama",54505,54433,54473,54499,54543
"Conecuh County, Alabama",13219,13133,13005,12898,12670
"Coosa County, Alabama",11757,11344,11181,11065,10886
"Covington County, Alabama",37784,38049,37809,37850,37914
"Crenshaw County, Alabama",13866,13914,13972,13960,13977
"Cullman County, Alabama",80454,80455,80361,80783,81289
"Dale County, Alabama",50340,50085,50310,49845,49484
"Dallas County, Alabama",43836,43225,42839,42102,41711
"DeKalb County, Alabama",71118,71361,70930,70894,71065
"Elmore County, Alabama",79444,79983,80392,80808,80977
"Escambia County, Alabama",38312,38222,38048,37893,37733
"Etowah County, Alabama",104501,104310,104324,103962,103531
"Fayette County, Alabama",17247,17082,16982,16909,16874
"Franklin County, Alabama",31755,31757,31660,31542,31601
"Geneva County, Alabama",26793,26829,27002,26742,26712
"Greene County, Alabama",8992,8902,8827,8718,8553
"Hale County, Alabama",15727,15355,15390,15311,15184
"Henry County, Alabama",17287,17403,17248,17224,17190
"Houston County, Alabama",101787,102423,103368,103626,104193
"Jackson County, Alabama",53159,53244,53048,52944,52665
"Jefferson County, Alabama",658302,657927,657953,659197,660793
"Lamar County, Alabama",14499,14295,14255,14203,14086
"Lauderdale County, Alabama",92726,92609,92694,92774,93096
"Lawrence County, Alabama",34306,34044,33776,33571,33477
"Lee County, Alabama",140799,144146,148040,151708,154255
"Limestone County, Alabama",83179,85580,87363,88924,90787
"Lowndes County, Alabama",11285,11131,10864,10730,10580
"Macon County, Alabama",21542,21264,20470,19822,19425
"Madison County, Alabama",336239,339668,342868,347073,350299
"Marengo County, Alabama",20951,20711,20443,20228,20110
"Marion County, Alabama",30810,30731,30516,30305,30271
"Marshall County, Alabama",93170,93927,94303,94569,94636
"Mobile County, Alabama",413432,413154,413955,414560,415123
"Monroe County, Alabama",23003,22797,22609,22188,21947
"Montgomery County, Alabama",229795,231571,229426,227271,226189
"Morgan County, Alabama",119557,119870,120057,119628,119607
"Perry County, Alabama",10536,10502,10172,9978,9826
"Pickens County, Alabama",19706,19348,19344,19383,20365
"Pike County, Alabama",32959,32922,33128,33682,33389
"Randolph County, Alabama",22928,22834,22657,22663,22539
"Russell County, Alabama",53279,54845,57736,59430,59608
"St. Clair County, Alabama",83800,84305,85165,86244,86697
"Shelby County, Alabama",196036,197988,200963,204196,206655
"Sumter County, Alabama",13748,13494,13411,13345,13166
"Talladega County, Alabama",82067,81781,81858,81339,81322
"Tallapoosa County, Alabama",41490,41443,41156,41221,41165
"Tuscaloosa County, Alabama",195056,196697,198643,200744,202212
"Walker County, Alabama",66991,66607,66125,65859,65471
"Washington County, Alabama",17601,17319,17088,16842,16834
"Wilcox County, Alabama",11579,11510,11386,11262,11098
"Winston County, Alabama",24409,24348,24185,24187,24150
"Aleutians East Borough, Alaska",3178,3267,3320,3351,3360
"Aleutians West Census Area, Alaska",5551,5587,5671,5692,5750
"Anchorage Municipality, Alaska",293337,296282,298633,301629,301010
"Bethel Census Area, Alaska",17068,17453,17687,17806,17868
"Bristol Bay Borough, Alaska",1002,1038,984,955,957
"Denali Borough, Alaska",1832,1869,1906,1933,1921
"Dillingham Census Area, Alaska",4869,4969,4968,4988,4988
